,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,hour
0,1,0,0,1,9.84,14.395,81,0.0,3,13,16,0
1,1,0,0,1,9.02,13.635,80,0.0,8,32,40,0
2,1,0,0,1,9.02,13.635,80,0.0,5,27,32,0
3,1,0,0,1,9.84,14.395,75,0.0,3,10,13,0
4,1,0,0,1,9.84,14.395,75,0.0,0,1,1,0
5,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,0
6,1,0,0,1,9.02,13.635,80,0.0,2,0,2,1
7,1,0,0,1,8.2,12.88,86,0.0,1,2,3,1
8,1,0,0,1,9.84,14.395,75,0.0,1,7,8,1
9,1,0,0,1,13.12,17.425,76,0.0,8,6,14,1
10,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,1
11,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,1
12,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,1
13,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,2
14,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,2
15,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,2
16,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,2
17,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,2
18,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,2
19,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,3
20,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,3
21,1,0,0,2,16.4,20.455,87,12.998,3,31,34,3
22,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,3
23,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,3
24,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,0
25,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,0
26,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,0
27,1,0,0,2,18.86,22.725,94,12.998,2,4,6,0
28,1,0,0,2,18.86,22.725,94,12.998,2,1,3,0
